A = 0000, B = 0000, Cin = 0, Cout = 0, S = 0000
A = 5183, B = 6740, Cin = 0, Cout = 0, S = b8c3
A = 5183, B = aa06, Cin = 0, Cout = 0, S = fb89
A = 5183, B = 7707, Cin = 0, Cout = 0, S = c88a
A = 5183, B = 661e, Cin = 0, Cout = 0, S = b7a1
A = 5183, B = aa27, Cin = 0, Cout = 0, S = fbaa
A = 5183, B = 9475, Cin = 0, Cout = 0, S = e5f8
A = 5183, B = 3cb2, Cin = 0, Cout = 0, S = 8e35
A = 5183, B = 5b5d, Cin = 0, Cout = 0, S = ace0
A = 5183, B = 2875, Cin = 0, Cout = 0, S = 79f8
A = 5183, B = ab6b, Cin = 0, Cout = 0, S = fcee
A = 5183, B = 1bcd, Cin = 0, Cout = 0, S = 6d50
A = 5183, B = 8f61, Cin = 0, Cout = 0, S = e0e4
A = 5183, B = ef5c, Cin = 0, Cout = 1, S = 40df
A = 5183, B = e08c, Cin = 0, Cout = 1, S = 320f
A = 5183, B = be66, Cin = 0, Cout = 1, S = 0fe9
A = 5183, B = a2ce, Cin = 0, Cout = 0, S = f451
A = 5183, B = 71b2, Cin = 0, Cout = 0, S = c335
A = 5183, B = a50d, Cin = 0, Cout = 0, S = f690
A = 5183, B = 6c3f, Cin = 0, Cout = 0, S = bdc2
A = 5183, B = 5b04, Cin = 0, Cout = 0, S = ac87
A = 5183, B = d88a, Cin = 0, Cout = 1, S = 2a0d
A = 5183, B = 1321, Cin = 0, Cout = 0, S = 64a4
A = 5183, B = 5183, Cin = 0, Cout = 0, S = a306
A = 5183, B = 90a4, Cin = 0, Cout = 0, S = e227
A = 5183, B = e310, Cin = 0, Cout = 1, S = 3493
A = 5183, B = 3e8c, Cin = 0, Cout = 0, S = 900f
A = 5183, B = 5ce3, Cin = 0, Cout = 0, S = ae66
A = 5183, B = 1d12, Cin = 0, Cout = 0, S = 6e95
A = 5183, B = 869d, Cin = 0, Cout = 0, S = d820
A = 5183, B = 4cad, Cin = 0, Cout = 0, S = 9e30
A = 5183, B = 7940, Cin = 0, Cout = 0, S = cac3
A = 5183, B = 0b63, Cin = 0, Cout = 0, S = 5ce6
A = 5183, B = d71b, Cin = 0, Cout = 1, S = 289e
A = 5183, B = 654c, Cin = 0, Cout = 0, S = b6cf
A = 5183, B = 8c4a, Cin = 0, Cout = 0, S = ddcd
A = 5183, B = 60c5, Cin = 0, Cout = 0, S = b248
A = 5183, B = 0de9, Cin = 0, Cout = 0, S = 5f6c
A = 5183, B = 3472, Cin = 0, Cout = 0, S = 85f5
A = 5183, B = 6930, Cin = 0, Cout = 0, S = bab3
A = 5183, B = 84f7, Cin = 0, Cout = 0, S = d67a
A = 5183, B = 363d, Cin = 0, Cout = 0, S = 87c0
A = 5183, B = 62e7, Cin = 0, Cout = 0, S = b46a
A = 5183, B = 0c50, Cin = 0, Cout = 0, S = 5dd3
A = 5183, B = b32c, Cin = 0, Cout = 1, S = 04af
A = 5183, B = 22da, Cin = 0, Cout = 0, S = 745d
A = 5183, B = 27f2, Cin = 0, Cout = 0, S = 7975
A = 5183, B = 95af, Cin = 0, Cout = 0, S = e732
A = 5183, B = c86f, Cin = 0, Cout = 1, S = 19f2
A = 5183, B = 24bd, Cin = 0, Cout = 0, S = 7640
A = 5183, B = 3eed, Cin = 0, Cout = 0, S = 9070
A = 5183, B = 68bd, Cin = 0, Cout = 0, S = ba40
A = 5183, B = 85ce, Cin = 0, Cout = 0, S = d751
A = 5183, B = 9c7e, Cin = 0, Cout = 0, S = ee01
A = 5183, B = db66, Cin = 0, Cout = 1, S = 2ce9
A = 5183, B = a641, Cin = 0, Cout = 0, S = f7c4
A = 5183, B = 75a8, Cin = 0, Cout = 0, S = c72b
A = 5183, B = d548, Cin = 0, Cout = 1, S = 26cb
A = 5183, B = 31f9, Cin = 0, Cout = 0, S = 837c
A = 5183, B = a33c, Cin = 0, Cout = 0, S = f4bf
A = 5183, B = 0421, Cin = 0, Cout = 0, S = 55a4
A = 5183, B = c0c2, Cin = 0, Cout = 1, S = 1245
A = 5183, B = f89a, Cin = 0, Cout = 1, S = 4a1d
A = 5183, B = 173e, Cin = 0, Cout = 0, S = 68c1
A = 5183, B = 4a0b, Cin = 0, Cout = 0, S = 9b8e
A = 5183, B = cdf5, Cin = 0, Cout = 1, S = 1f78
A = 5183, B = 415a, Cin = 0, Cout = 0, S = 92dd
A = 5183, B = 9bbe, Cin = 0, Cout = 0, S = ed41
A = 5183, B = d3ad, Cin = 0, Cout = 1, S = 2530
A = 5183, B = 7290, Cin = 0, Cout = 0, S = c413
A = 5183, B = eea6, Cin = 0, Cout = 1, S = 4029
A = 5183, B = 433d, Cin = 0, Cout = 0, S = 94c0
A = 5183, B = c25e, Cin = 0, Cout = 1, S = 13e1
A = 5183, B = db5b, Cin = 0, Cout = 1, S = 2cde
A = 5183, B = a379, Cin = 0, Cout = 0, S = f4fc
A = 5183, B = 9d09, Cin = 0, Cout = 0, S = ee8c
A = 5183, B = 746c, Cin = 0, Cout = 0, S = c5ef
A = 5183, B = f884, Cin = 0, Cout = 1, S = 4a07
A = 5183, B = 860a, Cin = 0, Cout = 0, S = d78d
A = 5183, B = 9363, Cin = 0, Cout = 0, S = e4e6
A = 5183, B = 8712, Cin = 0, Cout = 0, S = d895
A = 5183, B = 62f7, Cin = 0, Cout = 0, S = b47a
A = 5183, B = 3278, Cin = 0, Cout = 0, S = 83fb
A = 90a4, B = 0000, Cin = 0, Cout = 0, S = 90a4
A = 90a4, B = 0001, Cin = 0, Cout = 0, S = 90a5
A = 90a4, B = 1111, Cin = 0, Cout = 0, S = a1b5
A = 90a4, B = aaaa, Cin = 0, Cout = 1, S = 3b4e
A = 90a4, B = 5555, Cin = 0, Cout = 0, S = e5f9
A = 90a4, B = ffff, Cin = 0, Cout = 1, S = 90a3
A = 90a4, B = ff00, Cin = 0, Cout = 1, S = 8fa4
A = 90a4, B = 00ff, Cin = 0, Cout = 0, S = 91a3
A = 90a4, B = 7fff, Cin = 0, Cout = 1, S = 10a3
A = 90a4, B = 8000, Cin = 0, Cout = 1, S = 10a4
A = 90a4, B = f9e8, Cin = 0, Cout = 1, S = 8a8c
A = 90a4, B = c91b, Cin = 0, Cout = 1, S = 59bf
A = 90a4, B = fa50, Cin = 0, Cout = 1, S = 8af4
A = 90a4, B = 92a3, Cin = 0, Cout = 1, S = 2347
A = 90a4, B = b84e, Cin = 0, Cout = 1, S = 48f2
A = 90a4, B = 7da2, Cin = 0, Cout = 1, S = 0e46
A = 90a4, B = 05a5, Cin = 0, Cout = 0, S = 9649
A = 90a4, B = 6ea1, Cin = 0, Cout = 0, S = ff45
A = 90a4, B = 6740, Cin = 0, Cout = 0, S = f7e4
A = 90a4, B = aa06, Cin = 0, Cout = 1, S = 3aaa
A = 90a4, B = 7707, Cin = 0, Cout = 1, S = 07ab
A = 90a4, B = 661e, Cin = 0, Cout = 0, S = f6c2
A = 90a4, B = aa27, Cin = 0, Cout = 1, S = 3acb
A = 90a4, B = 9475, Cin = 0, Cout = 1, S = 2519
A = 90a4, B = 3cb2, Cin = 0, Cout = 0, S = cd56
A = 90a4, B = 5b5d, Cin = 0, Cout = 0, S = ec01
A = 90a4, B = 2875, Cin = 0, Cout = 0, S = b919
A = 90a4, B = ab6b, Cin = 0, Cout = 1, S = 3c0f
A = 90a4, B = 1bcd, Cin = 0, Cout = 0, S = ac71
A = 90a4, B = 8f61, Cin = 0, Cout = 1, S = 2005
A = 90a4, B = ef5c, Cin = 0, Cout = 1, S = 8000
A = 90a4, B = e08c, Cin = 0, Cout = 1, S = 7130
A = 90a4, B = be66, Cin = 0, Cout = 1, S = 4f0a
A = 90a4, B = a2ce, Cin = 0, Cout = 1, S = 3372
A = 90a4, B = 71b2, Cin = 0, Cout = 1, S = 0256
A = 90a4, B = a50d, Cin = 0, Cout = 1, S = 35b1
A = 90a4, B = 6c3f, Cin = 0, Cout = 0, S = fce3
A = 90a4, B = 5b04, Cin = 0, Cout = 0, S = eba8
A = 90a4, B = d88a, Cin = 0, Cout = 1, S = 692e
A = 90a4, B = 1321, Cin = 0, Cout = 0, S = a3c5
A = 90a4, B = 5183, Cin = 0, Cout = 0, S = e227
A = 90a4, B = 90a4, Cin = 0, Cout = 1, S = 2148
A = 90a4, B = e310, Cin = 0, Cout = 1, S = 73b4
A = 90a4, B = 3e8c, Cin = 0, Cout = 0, S = cf30
A = 90a4, B = 5ce3, Cin = 0, Cout = 0, S = ed87
A = 90a4, B = 1d12, Cin = 0, Cout = 0, S = adb6
A = 90a4, B = 869d, Cin = 0, Cout = 1, S = 1741
A = 90a4, B = 4cad, Cin = 0, Cout = 0, S = dd51
A = 90a4, B = 7940, Cin = 0, Cout = 1, S = 09e4
A = 90a4, B = 0b63, Cin = 0, Cout = 0, S = 9c07
A = 90a4, B = d71b, Cin = 0, Cout = 1, S = 67bf
A = 90a4, B = 654c, Cin = 0, Cout = 0, S = f5f0
A = 90a4, B = 8c4a, Cin = 0, Cout = 1, S = 1cee
A = 90a4, B = 60c5, Cin = 0, Cout = 0, S = f169
A = 90a4, B = 0de9, Cin = 0, Cout = 0, S = 9e8d
A = 90a4, B = 3472, Cin = 0, Cout = 0, S = c516
A = 90a4, B = 6930, Cin = 0, Cout = 0, S = f9d4
A = 90a4, B = 84f7, Cin = 0, Cout = 1, S = 159b
A = 90a4, B = 363d, Cin = 0, Cout = 0, S = c6e1
A = 90a4, B = 62e7, Cin = 0, Cout = 0, S = f38b
A = 90a4, B = 0c50, Cin = 0, Cout = 0, S = 9cf4
A = 90a4, B = b32c, Cin = 0, Cout = 1, S = 43d0
A = 90a4, B = 22da, Cin = 0, Cout = 0, S = b37e
A = 90a4, B = 27f2, Cin = 0, Cout = 0, S = b896
A = 90a4, B = 95af, Cin = 0, Cout = 1, S = 2653
A = 90a4, B = c86f, Cin = 0, Cout = 1, S = 5913
A = 90a4, B = 24bd, Cin = 0, Cout = 0, S = b561
A = 90a4, B = 3eed, Cin = 0, Cout = 0, S = cf91
A = 90a4, B = 68bd, Cin = 0, Cout = 0, S = f961
A = 90a4, B = 85ce, Cin = 0, Cout = 1, S = 1672
A = 90a4, B = 9c7e, Cin = 0, Cout = 1, S = 2d22
A = 90a4, B = db66, Cin = 0, Cout = 1, S = 6c0a
A = 90a4, B = a641, Cin = 0, Cout = 1, S = 36e5
A = 90a4, B = 75a8, Cin = 0, Cout = 1, S = 064c
A = 90a4, B = d548, Cin = 0, Cout = 1, S = 65ec
A = 90a4, B = 31f9, Cin = 0, Cout = 0, S = c29d
A = 90a4, B = a33c, Cin = 0, Cout = 1, S = 33e0
A = 90a4, B = 0421, Cin = 0, Cout = 0, S = 94c5
A = 90a4, B = c0c2, Cin = 0, Cout = 1, S = 5166
A = 90a4, B = f89a, Cin = 0, Cout = 1, S = 893e
A = 90a4, B = 173e, Cin = 0, Cout = 0, S = a7e2
A = 90a4, B = 4a0b, Cin = 0, Cout = 0, S = daaf
A = 90a4, B = cdf5, Cin = 0, Cout = 1, S = 5e99
A = 90a4, B = 415a, Cin = 0, Cout = 0, S = d1fe
A = 90a4, B = 9bbe, Cin = 0, Cout = 1, S = 2c62
A = 90a4, B = d3ad, Cin = 0, Cout = 1, S = 6451
A = 90a4, B = 7290, Cin = 0, Cout = 1, S = 0334
A = 90a4, B = eea6, Cin = 0, Cout = 1, S = 7f4a
A = 90a4, B = 433d, Cin = 0, Cout = 0, S = d3e1
A = 90a4, B = c25e, Cin = 0, Cout = 1, S = 5302
A = 90a4, B = db5b, Cin = 0, Cout = 1, S = 6bff
A = 90a4, B = a379, Cin = 0, Cout = 1, S = 341d
A = 90a4, B = 9d09, Cin = 0, Cout = 1, S = 2dad
A = 90a4, B = 746c, Cin = 0, Cout = 1, S = 0510
A = 90a4, B = f884, Cin = 0, Cout = 1, S = 8928
A = 90a4, B = 860a, Cin = 0, Cout = 1, S = 16ae
A = 90a4, B = 9363, Cin = 0, Cout = 1, S = 2407
A = 90a4, B = 8712, Cin = 0, Cout = 1, S = 17b6
A = 90a4, B = 62f7, Cin = 0, Cout = 0, S = f39b
A = 90a4, B = 3278, Cin = 0, Cout = 0, S = c31c
A = e310, B = 0000, Cin = 0, Cout = 0, S = e310
A = e310, B = 0001, Cin = 0, Cout = 0, S = e311
A = e310, B = 1111, Cin = 0, Cout = 0, S = f421
A = e310, B = aaaa, Cin = 0, Cout = 1, S = 8dba
A = e310, B = 5555, Cin = 0, Cout = 1, S = 3865
A = e310, B = ffff, Cin = 0, Cout = 1, S = e30f
A = e310, B = ff00, Cin = 0, Cout = 1, S = e210
A = e310, B = 00ff, Cin = 0, Cout = 0, S = e40f
A = e310, B = 7fff, Cin = 0, Cout = 1, S = 630f
A = e310, B = 8000, Cin = 0, Cout = 1, S = 6310
A = e310, B = f9e8, Cin = 0, Cout = 1, S = dcf8
A = e310, B = c91b, Cin = 0, Cout = 1, S = ac2b
A = e310, B = fa50, Cin = 0, Cout = 1, S = dd60
A = e310, B = 92a3, Cin = 0, Cout = 1, S = 75b3
A = e310, B = b84e, Cin = 0, Cout = 1, S = 9b5e
A = e310, B = 7da2, Cin = 0, Cout = 1, S = 60b2
A = e310, B = 05a5, Cin = 0, Cout = 0, S = e8b5
A = e310, B = 6ea1, Cin = 0, Cout = 1, S = 51b1
A = e310, B = 6740, Cin = 0, Cout = 1, S = 4a50
A = e310, B = aa06, Cin = 0, Cout = 1, S = 8d16
A = e310, B = 7707, Cin = 0, Cout = 1, S = 5a17
A = e310, B = 661e, Cin = 0, Cout = 1, S = 492e
A = e310, B = aa27, Cin = 0, Cout = 1, S = 8d37
A = e310, B = 9475, Cin = 0, Cout = 1, S = 7785
A = e310, B = 3cb2, Cin = 0, Cout = 1, S = 1fc2
A = e310, B = 5b5d, Cin = 0, Cout = 1, S = 3e6d
A = e310, B = 2875, Cin = 0, Cout = 1, S = 0b85
A = e310, B = ab6b, Cin = 0, Cout = 1, S = 8e7b
A = e310, B = 1bcd, Cin = 0, Cout = 0, S = fedd
A = e310, B = 8f61, Cin = 0, Cout = 1, S = 7271
A = e310, B = ef5c, Cin = 0, Cout = 1, S = d26c
A = e310, B = e08c, Cin = 0, Cout = 1, S = c39c
A = e310, B = be66, Cin = 0, Cout = 1, S = a176
A = e310, B = a2ce, Cin = 0, Cout = 1, S = 85de
A = e310, B = 71b2, Cin = 0, Cout = 1, S = 54c2
A = e310, B = a50d, Cin = 0, Cout = 1, S = 881d
A = e310, B = 6c3f, Cin = 0, Cout = 1, S = 4f4f
A = e310, B = 5b04, Cin = 0, Cout = 1, S = 3e14
A = e310, B = d88a, Cin = 0, Cout = 1, S = bb9a
A = e310, B = 1321, Cin = 0, Cout = 0, S = f631
A = e310, B = 5183, Cin = 0, Cout = 1, S = 3493
A = e310, B = 90a4, Cin = 0, Cout = 1, S = 73b4
A = e310, B = e310, Cin = 0, Cout = 1, S = c620
A = e310, B = 3e8c, Cin = 0, Cout = 1, S = 219c
A = e310, B = 5ce3, Cin = 0, Cout = 1, S = 3ff3
A = e310, B = 1d12, Cin = 0, Cout = 1, S = 0022
A = e310, B = 869d, Cin = 0, Cout = 1, S = 69ad
A = e310, B = 4cad, Cin = 0, Cout = 1, S = 2fbd
A = e310, B = 7940, Cin = 0, Cout = 1, S = 5c50
A = e310, B = 0b63, Cin = 0, Cout = 0, S = ee73
A = e310, B = d71b, Cin = 0, Cout = 1, S = ba2b
A = e310, B = 654c, Cin = 0, Cout = 1, S = 485c
A = e310, B = 8c4a, Cin = 0, Cout = 1, S = 6f5a
A = e310, B = 60c5, Cin = 0, Cout = 1, S = 43d5
A = e310, B = 0de9, Cin = 0, Cout = 0, S = f0f9
A = e310, B = 3472, Cin = 0, Cout = 1, S = 1782
A = e310, B = 6930, Cin = 0, Cout = 1, S = 4c40
A = e310, B = 84f7, Cin = 0, Cout = 1, S = 6807
A = e310, B = 363d, Cin = 0, Cout = 1, S = 194d
A = e310, B = 62e7, Cin = 0, Cout = 1, S = 45f7
A = e310, B = 0c50, Cin = 0, Cout = 0, S = ef60
A = e310, B = b32c, Cin = 0, Cout = 1, S = 963c
A = e310, B = 22da, Cin = 0, Cout = 1, S = 05ea
A = e310, B = 27f2, Cin = 0, Cout = 1, S = 0b02
A = e310, B = 95af, Cin = 0, Cout = 1, S = 78bf
A = e310, B = c86f, Cin = 0, Cout = 1, S = ab7f
A = e310, B = 24bd, Cin = 0, Cout = 1, S = 07cd
A = e310, B = 3eed, Cin = 0, Cout = 1, S = 21fd
A = e310, B = 68bd, Cin = 0, Cout = 1, S = 4bcd
A = e310, B = 85ce, Cin = 0, Cout = 1, S = 68de
A = e310, B = 9c7e, Cin = 0, Cout = 1, S = 7f8e
A = e310, B = db66, Cin = 0, Cout = 1, S = be76
A = e310, B = a641, Cin = 0, Cout = 1, S = 8951
A = e310, B = 75a8, Cin = 0, Cout = 1, S = 58b8
A = e310, B = d548, Cin = 0, Cout = 1, S = b858
A = e310, B = 31f9, Cin = 0, Cout = 1, S = 1509
A = e310, B = a33c, Cin = 0, Cout = 1, S = 864c
A = e310, B = 0421, Cin = 0, Cout = 0, S = e731
A = e310, B = c0c2, Cin = 0, Cout = 1, S = a3d2
A = e310, B = f89a, Cin = 0, Cout = 1, S = dbaa
A = e310, B = 173e, Cin = 0, Cout = 0, S = fa4e
A = e310, B = 4a0b, Cin = 0, Cout = 1, S = 2d1b
A = e310, B = cdf5, Cin = 0, Cout = 1, S = b105
A = e310, B = 415a, Cin = 0, Cout = 1, S = 246a
A = e310, B = 9bbe, Cin = 0, Cout = 1, S = 7ece
A = e310, B = d3ad, Cin = 0, Cout = 1, S = b6bd
A = e310, B = 7290, Cin = 0, Cout = 1, S = 55a0
A = e310, B = eea6, Cin = 0, Cout = 1, S = d1b6
A = e310, B = 433d, Cin = 0, Cout = 1, S = 264d
A = e310, B = c25e, Cin = 0, Cout = 1, S = a56e
A = e310, B = db5b, Cin = 0, Cout = 1, S = be6b
A = e310, B = a379, Cin = 0, Cout = 1, S = 8689
A = e310, B = 9d09, Cin = 0, Cout = 1, S = 8019
A = e310, B = 746c, Cin = 0, Cout = 1, S = 577c
A = e310, B = f884, Cin = 0, Cout = 1, S = db94
A = e310, B = 860a, Cin = 0, Cout = 1, S = 691a
A = e310, B = 9363, Cin = 0, Cout = 1, S = 7673
A = e310, B = 8712, Cin = 0, Cout = 1, S = 6a22
A = e310, B = 62f7, Cin = 0, Cout = 1, S = 4607
A = e310, B = 3278, Cin = 0, Cout = 1, S = 1588
A = 3e8c, B = 0000, Cin = 0, Cout = 0, S = 3e8c
A = 3e8c, B = 0001, Cin = 0, Cout = 0, S = 3e8d
A = 3e8c, B = 1111, Cin = 0, Cout = 0, S = 4f9d
A = 3e8c, B = aaaa, Cin = 0, Cout = 0, S = e936
A = 3e8c, B = 5555, Cin = 0, Cout = 0, S = 93e1
A = 3e8c, B = ffff, Cin = 0, Cout = 1, S = 3e8b
A = 3e8c, B = ff00, Cin = 0, Cout = 1, S = 3d8c
A = 3e8c, B = 00ff, Cin = 0, Cout = 0, S = 3f8b
A = 3e8c, B = 7fff, Cin = 0, Cout = 0, S = be8b
A = 3e8c, B = 8000, Cin = 0, Cout = 0, S = be8c
A = 3e8c, B = f9e8, Cin = 0, Cout = 1, S = 3874
A = 3e8c, B = c91b, Cin = 0, Cout = 1, S = 07a7
A = 3e8c, B = fa50, Cin = 0, Cout = 1, S = 38dc
A = 3e8c, B = 92a3, Cin = 0, Cout = 0, S = d12f
A = 3e8c, B = b84e, Cin = 0, Cout = 0, S = f6da
A = 3e8c, B = 7da2, Cin = 0, Cout = 0, S = bc2e
A = 3e8c, B = 05a5, Cin = 0, Cout = 0, S = 4431
A = 3e8c, B = 6ea1, Cin = 0, Cout = 0, S = ad2d
A = 3e8c, B = 6740, Cin = 0, Cout = 0, S = a5cc
A = 3e8c, B = aa06, Cin = 0, Cout = 0, S = e892
A = 3e8c, B = 7707, Cin = 0, Cout = 0, S = b593
A = 3e8c, B = 661e, Cin = 0, Cout = 0, S = a4aa
A = 3e8c, B = aa27, Cin = 0, Cout = 0, S = e8b3
A = 3e8c, B = 9475, Cin = 0, Cout = 0, S = d301
A = 3e8c, B = 3cb2, Cin = 0, Cout = 0, S = 7b3e
A = 3e8c, B = 5b5d, Cin = 0, Cout = 0, S = 99e9
A = 3e8c, B = 2875, Cin = 0, Cout = 0, S = 6701
A = 3e8c, B = ab6b, Cin = 0, Cout = 0, S = e9f7
A = 3e8c, B = 1bcd, Cin = 0, Cout = 0, S = 5a59
A = 3e8c, B = 8f61, Cin = 0, Cout = 0, S = cded
A = 3e8c, B = ef5c, Cin = 0, Cout = 1, S = 2de8
A = 3e8c, B = e08c, Cin = 0, Cout = 1, S = 1f18
A = 3e8c, B = be66, Cin = 0, Cout = 0, S = fcf2
A = 3e8c, B = a2ce, Cin = 0, Cout = 0, S = e15a
A = 3e8c, B = 71b2, Cin = 0, Cout = 0, S = b03e
A = 3e8c, B = a50d, Cin = 0, Cout = 0, S = e399
A = 3e8c, B = 6c3f, Cin = 0, Cout = 0, S = aacb
A = 3e8c, B = 5b04, Cin = 0, Cout = 0, S = 9990
A = 3e8c, B = d88a, Cin = 0, Cout = 1, S = 1716
A = 3e8c, B = 1321, Cin = 0, Cout = 0, S = 51ad
A = 3e8c, B = 5183, Cin = 0, Cout = 0, S = 900f
A = 3e8c, B = 90a4, Cin = 0, Cout = 0, S = cf30
A = 3e8c, B = e310, Cin = 0, Cout = 1, S = 219c
A = 3e8c, B = 3e8c, Cin = 0, Cout = 0, S = 7d18
A = 3e8c, B = 5ce3, Cin = 0, Cout = 0, S = 9b6f
A = 3e8c, B = 1d12, Cin = 0, Cout = 0, S = 5b9e
A = 3e8c, B = 869d, Cin = 0, Cout = 0, S = c529
A = 3e8c, B = 4cad, Cin = 0, Cout = 0, S = 8b39
A = 3e8c, B = 7940, Cin = 0, Cout = 0, S = b7cc
A = 3e8c, B = 0b63, Cin = 0, Cout = 0, S = 49ef
A = 3e8c, B = d71b, Cin = 0, Cout = 1, S = 15a7
A = 3e8c, B = 654c, Cin = 0, Cout = 0, S = a3d8
A = 3e8c, B = 8c4a, Cin = 0, Cout = 0, S = cad6
A = 3e8c, B = 60c5, Cin = 0, Cout = 0, S = 9f51
A = 3e8c, B = 0de9, Cin = 0, Cout = 0, S = 4c75
A = 3e8c, B = 3472, Cin = 0, Cout = 0, S = 72fe
A = 3e8c, B = 6930, Cin = 0, Cout = 0, S = a7bc
A = 3e8c, B = 84f7, Cin = 0, Cout = 0, S = c383
A = 3e8c, B = 363d, Cin = 0, Cout = 0, S = 74c9
A = 3e8c, B = 62e7, Cin = 0, Cout = 0, S = a173
A = 3e8c, B = 0c50, Cin = 0, Cout = 0, S = 4adc
A = 3e8c, B = b32c, Cin = 0, Cout = 0, S = f1b8
A = 3e8c, B = 22da, Cin = 0, Cout = 0, S = 6166
A = 3e8c, B = 27f2, Cin = 0, Cout = 0, S = 667e
A = 3e8c, B = 95af, Cin = 0, Cout = 0, S = d43b
A = 3e8c, B = c86f, Cin = 0, Cout = 1, S = 06fb
A = 3e8c, B = 24bd, Cin = 0, Cout = 0, S = 6349
A = 3e8c, B = 3eed, Cin = 0, Cout = 0, S = 7d79
A = 3e8c, B = 68bd, Cin = 0, Cout = 0, S = a749
A = 3e8c, B = 85ce, Cin = 0, Cout = 0, S = c45a
A = 3e8c, B = 9c7e, Cin = 0, Cout = 0, S = db0a
A = 3e8c, B = db66, Cin = 0, Cout = 1, S = 19f2
A = 3e8c, B = a641, Cin = 0, Cout = 0, S = e4cd
A = 3e8c, B = 75a8, Cin = 0, Cout = 0, S = b434
A = 3e8c, B = d548, Cin = 0, Cout = 1, S = 13d4
A = 3e8c, B = 31f9, Cin = 0, Cout = 0, S = 7085
A = 3e8c, B = a33c, Cin = 0, Cout = 0, S = e1c8
A = 3e8c, B = 0421, Cin = 0, Cout = 0, S = 42ad
A = 3e8c, B = c0c2, Cin = 0, Cout = 0, S = ff4e
A = 3e8c, B = f89a, Cin = 0, Cout = 1, S = 3726
A = 3e8c, B = 173e, Cin = 0, Cout = 0, S = 55ca
A = 3e8c, B = 4a0b, Cin = 0, Cout = 0, S = 8897
A = 3e8c, B = cdf5, Cin = 0, Cout = 1, S = 0c81
A = 3e8c, B = 415a, Cin = 0, Cout = 0, S = 7fe6
A = 3e8c, B = 9bbe, Cin = 0, Cout = 0, S = da4a
A = 3e8c, B = d3ad, Cin = 0, Cout = 1, S = 1239
A = 3e8c, B = 7290, Cin = 0, Cout = 0, S = b11c
A = 3e8c, B = eea6, Cin = 0, Cout = 1, S = 2d32
A = 3e8c, B = 433d, Cin = 0, Cout = 0, S = 81c9
A = 3e8c, B = c25e, Cin = 0, Cout = 1, S = 00ea
A = 3e8c, B = db5b, Cin = 0, Cout = 1, S = 19e7
A = 3e8c, B = a379, Cin = 0, Cout = 0, S = e205
A = 3e8c, B = 9d09, Cin = 0, Cout = 0, S = db95
A = 3e8c, B = 746c, Cin = 0, Cout = 0, S = b2f8
A = 3e8c, B = f884, Cin = 0, Cout = 1, S = 3710
A = 3e8c, B = 860a, Cin = 0, Cout = 0, S = c496
A = 3e8c, B = 9363, Cin = 0, Cout = 0, S = d1ef
A = 3e8c, B = 8712, Cin = 0, Cout = 0, S = c59e
A = 3e8c, B = 62f7, Cin = 0, Cout = 0, S = a183
A = 3e8c, B = 3278, Cin = 0, Cout = 0, S = 7104
A = 5ce3, B = 0000, Cin = 0, Cout = 0, S = 5ce3
A = 5ce3, B = 0001, Cin = 0, Cout = 0, S = 5ce4
A = 5ce3, B = 1111, Cin = 0, Cout = 0, S = 6df4
A = 5ce3, B = aaaa, Cin = 0, Cout = 1, S = 078d
A = 5ce3, B = 5555, Cin = 0, Cout = 0, S = b238
A = 5ce3, B = ffff, Cin = 0, Cout = 1, S = 5ce2
A = 5ce3, B = ff00, Cin = 0, Cout = 1, S = 5be3
A = 5ce3, B = 00ff, Cin = 0, Cout = 0, S = 5de2
A = 5ce3, B = 7fff, Cin = 0, Cout = 0, S = dce2
A = 5ce3, B = 8000, Cin = 0, Cout = 0, S = dce3
A = 5ce3, B = f9e8, Cin = 0, Cout = 1, S = 56cb
A = 5ce3, B = c91b, Cin = 0, Cout = 1, S = 25fe
A = 5ce3, B = fa50, Cin = 0, Cout = 1, S = 5733
A = 5ce3, B = 92a3, Cin = 0, Cout = 0, S = ef86
A = 5ce3, B = b84e, Cin = 0, Cout = 1, S = 1531
A = 5ce3, B = 7da2, Cin = 0, Cout = 0, S = da85
A = 5ce3, B = 05a5, Cin = 0, Cout = 0, S = 6288
A = 5ce3, B = 6ea1, Cin = 0, Cout = 0, S = cb84
A = 5ce3, B = 6740, Cin = 0, Cout = 0, S = c423
A = 5ce3, B = aa06, Cin = 0, Cout = 1, S = 06e9
A = 5ce3, B = 7707, Cin = 0, Cout = 0, S = d3ea
A = 5ce3, B = 661e, Cin = 0, Cout = 0, S = c301
A = 5ce3, B = aa27, Cin = 0, Cout = 1, S = 070a
A = 5ce3, B = 9475, Cin = 0, Cout = 0, S = f158
A = 5ce3, B = 3cb2, Cin = 0, Cout = 0, S = 9995
A = 5ce3, B = 5b5d, Cin = 0, Cout = 0, S = b840
A = 5ce3, B = 2875, Cin = 0, Cout = 0, S = 8558
A = 5ce3, B = ab6b, Cin = 0, Cout = 1, S = 084e
A = 5ce3, B = 1bcd, Cin = 0, Cout = 0, S = 78b0
A = 5ce3, B = 8f61, Cin = 0, Cout = 0, S = ec44
A = 5ce3, B = ef5c, Cin = 0, Cout = 1, S = 4c3f
A = 5ce3, B = e08c, Cin = 0, Cout = 1, S = 3d6f
A = 5ce3, B = be66, Cin = 0, Cout = 1, S = 1b49
